NM	Never mind
DM where it's gone b at	send direct message (on twitter) where it's gone be at
BION	Believe it or not
Watching this movie w lil bro	Watching this movie with lilttle brother
LOLH	Laughing out loud hysterically
IMMA	I Am Going To
me 2	me too
M8 , the only way to be a woman is to be born with XX chromosomes	Mate , the only way to be a woman is to be born with XX chromosomes
IMO	In My Opinion
TLK2UL8R	Talk to you later
Go jam bro lol	go jam brother Laughing Out Loud
At this point I'm wondering just who it is that will even want to run for POTUS in 2020	At this point I'm wondering just who it is that will even want to run for President of the United States in 2020
Lls don't do dat ! Yk imma find someone	Laughing like silly don't do that ! You know I Am Going To find someone
nw it's ur turn	no way it's your turn
SYL sis	See You All Later sister
Bro wtf is wrong with u	Brother what the fuck is wrong with you
bo3	best of three (online gaming)
Yw bro wish you all the best	your welcome brother wish you all the best
Me and Christina tryna convince Nicole to get on Tw is my best thing, honestly YW	Me and Christina trying to convince Nicole to get on Twitter is my best thing, honestly your welcome
Omg tq soo much for doing this	Oh my god I love you (in Spanish) soo much for doing this
IDK	I Do not Know
TQ	I love you (in Spanish)
I just talked to my ex yesterday , she was really pissed cuz i dont pay her child support	I just talked to my former husband (or wife) yesterday , she was really angry because i dont pay her child support
nhoh and nvr heard that story	Never Heard Of Him and never heard that story
THT	that
happy bday u crazy gal	happy birthday you crazy girl
POSSLQ	Person Of Opposite Sex Sharing Living Quarters
PMF	Pardon My French
POAHF	Put on a happy face
XLNT	Excellent
Correct Me If I am Wrong but r you goin out tonight	Correct Me If I am Wrong but are you going out tonight 
SOT	Short of time
real qik	real quick
BFF	Best Friends Forever
WTFE	What the fuck ever
MEGO	My eyes glaze over
i swear man they b annoying af	i swear man they be annoying as fuck
RSVP	reply if you please
also it's really important to feel out how your gut feels wrt how they respond to you	also it's really important to feel out how your gut feels with regard to how they respond to you
homie	friend
an uncrtn future	an uncertain future
i rly can't wait to get rly rly drunk tn n ruin my life	i really can't wait to get really really drunk tonight and ruin my life
voted out bc he is a despicable POS	voted out because he is a despicable Piece Of Shit
ASL	As Hell
IAC	In Any Case
This, I am s2s, is almost entirely wishful thinking	This, I am sorry to say, is almost entirely wishful thinking
VSF	Very sad face
YTB	youtube
Y	Yawn
CU tomorrow bye bye for now	see you tomorrow bye bye for now
ddnt	did not
dis	this
NQA	No Questions Asked
QC	Quality control
MEHH	okay (not satisfied)
TA	take away
TIA	Aunt
thank u ma lovely lysm	thank you my lovely love you so much
GIWIST	Gee, I Wish I had Said That
I'm tryna catch up with ykw	I'm trying to catch up with you know who
I simply love pza so much	I simply love pizza so much
a few ppl can kma after tn	a few people can kiss my ass after tonight
DLTBBB	Do not Let The Bed Bugs Bite
RT	Roger that
I g2g Bye Bye for now	I got to go Bye Bye for now
SK8NG	Skating
We r dumb af n have a asshole coach!	We are dumb as fuck and have a asshole coach!
tn	tonight
RYS	Are you single?
see you tomorrow BBFN	see you tomorrow bye bye for now
DTRT	Do The Right Thing
some1 pls help me i'm in a writing rut	someone please help me i'm in a writing uncomfortable situation (or place)
TMI	Too much information
Ppl associated w the kardashians were my clients today. Fun times, fav job everrrrrrrrr	People associated with the kardashians were my clients today. Fun times, favorite job everrrrrrrrr
Omg I'm so bogus	Oh my God I'm so silly
URW	You are welcome
omg ima tired af	oh my god I am tired as fuck
bro.. pls just stfu	brother.. please just shut the fuck up
BYOB	Bring Your Own Bottle
WYLEI	When you least expect it
SIMYC	Sorry I missed your call
PWN	Own
Bro your dm's aren't open to all	Brother your direct messages (on twitter) aren't open to all
Idk the hype w/ her either lol	I do not know the hype with her either Laughing Out Loud
TOBG	This Oughta Be Good
QFI	Quoted for irony
kim what? Nhoh	kim what? Never Heard Of Her
TKE	take
IZ	is
Like tf I said ... KMA	Like the fuck I said ... Kiss my ass
HAHA OMG Plz lmk if you do	laughing Oh My God Please let me know if you do
imma dm you sis	I am going to send direct message (on twitter) you sister
em	them
i want to hangout w/ u HMU whenever u can	i want to hangout with you hit me up (text me or call me) whenever you can
how can she go out dreesed like this LSHMBA	how can she go out dreesed like this Laughing So Hard My Belly Aches
kinda	kind of
OTTH	On The Third Hand
I luv it so much, it BTHOM	I love it so much, it Beats The Hell Out Of Me
lmao that comment is irrelevant , go back to ur lane or whatever lol	Laughing Out Loud that comment is irrelevant , go back to your lane or whatever Laughing Out Loud
@	at
PDS	Please Do not Shout (typing all in capital letters is rude)
Oh my God my mom is calling me for dinner so BCNU later	Oh my God my mom is calling me for dinner so be seeing you later
I think I'd b a great beauty guru bc I believe in zodiac signs tbh	I think I'd be a great beauty guru because I believe in zodiac signs to be honest
IOW	In Other Words
LQTM literally talked abt how he kinda knew he's too young	Laughing quietly to myself literally talked abt how he kinda knew he's too young
ur a lil late to the party	you are a little late to the party
ur	you are
YA	Your
wtf they are so stupid omfg my stomach hurts from laughing	what the fuck they are so stupid oh my fucking god my stomach hurts from laughing
My ears are ringing lol sos	My ears are ringing laughing out loud help
sry i don't want to annoy everybody	sorry i don't want to annoy everybody
GIAR	give it a rest
you are on twitter although you trying to avoid spoilers?! Mtfbwu	you are on twitter although you trying to avoid spoilers?! may the force be with you (Good luck)
QIK	Quick
K	Okay
W/B	Write back
DIKU	Do I Know You
Man I'm bored asl someone text me or DM me	Man I'm bored as hell someone text me or send direct message (on twitter) me
The film had a lot of potential, but, s2s, it falls flat in just about every way	The film had a lot of potential, but, sorry to say, it falls flat in just about every way
SOS send food and a pillow plz	help send food and a pillow please
he was a sk8r boy she said c u l8r boy	he was a skater boy she said see you later boy
QTPI	Cutie pie
srsly r u doing this on purpose	seriously are you doing this on purpose
His sexy attitude is TMTH for America	His sexy attitude is too much to handle for America
WAN2	Want to
tke cntrl of ure life	take control of your life
lmao I missed your actual bday but happy birthday	Laughing out loud I missed your actual birthday but happy birthday
do not ask me that! Hsik what are you feeling?!	do not ask me that! How Should I Know what are you feeling?!
CYAL8R sis	See You All Later sister
CUL8R bro	See You All Later brother
PIC	Picture
Yw, btw you're so pretty	your welcome, by the way you're so pretty
TAU	Thinking about you
rest of y'all mfs can kma frl	rest of you all motherfuckers can kiss my ass for real
Don't be so curios, piss off and myob	Don't be so curios, piss off and mind your own business
ima stay my ass right mf here	I am a stay my ass right motherfucker here
NT	Nice try
beau	beautiful
yall can have ur own opinions abt him	you all can have your own opinions about him
sup w/ da train	what's up with the train
I Think Now u feel Vry calm aftr listening this news ofc we also feel Vry happy	I Think Now you feel Very calm after listening this news of course we also feel Very happy
fr	for real
im omw wait 4 me plsss	im on my way wait for me please
QQ	cry
PROGGY	computer program
pls no jk lol but srsly no. hahaha	please no just kidding Laughing Out Loud but Seriously no. Laughing
MOMBOY	Mamma's boy
b honest w urself	be honest with yourself
BYKT do not trick me	But You Knew That do not trick me
mom drag me to that show and keep asking me AWHFY	mom drag me to that show and keep asking me Are We Having Fun Yet
hehehe	laughing
istg	I swear to gad
nd	and
YGTBKM	You've got to be kidding me
i want her to cut her hair a lil maybe not just a lil tbh hahaha	i want her to cut her hair a lilttle maybe not just a lilttle to be honest laughing
every new guy I date with is going under qc by my friends	every new guy I date with is going under Quality control by my friends
PIR	Parents in room
TTYS	Talk to you soon
Llhtt yeah Imma talk my shit, but imma be back  	Laughing Too Hard To Type yeah I Am Going To talk my shit, but I Am Going To be back  
CMIIW but r u going out tonight	Correct Me If I am Wrong but are you going out tonight 
WWYC	Write when you can
Her dress was not beautiful but seriously folks she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
looking good, rys	looking good, are you single?
can't come tonight bc im otw to the hospital	can't come tonight because im on the way to the hospital
Hi bro could u pls follow me back so that I can msg you :)	Hi brother could you please follow me back so that I can message you :)
MOF	Matter Of Fact
yugyeom's story had me rofl oh my lorde btw wyd	yugyeom's story had me Rolling on floor laughing oh my lorde by the way what are you doing
I luv it so much, it Beats The Hell Out Of Me	I love it so much, it Beats The Hell Out Of Me
pls no1 HMU saying united dumb!	please no one hit me up saying united dumb!
How TF do these suburban cats get into the TRAP lyf?! Lyk Y?!	How The Fuck do these suburban cats get into the TRAP life?! Like WHY?!
WUP	What's up
MUAH	Multiple unsuccessful attempts to humor
well me and bff spent valentines day crying w each other wbu	well me and best friend forever spent valentines day crying with each other what about you
betcha	bet you
Hello girlz how r u what r u doing ryt now	Hello girls how are you what are you doing right now
UR2YS4ME	You are too wise for me
4u	for you
I LYSM that it BTHOM	I love you so much that it Beats The Hell Out Of Me
Obviously , just a natural light k baby pls dont envy	Obviously , just a natural light okay baby please dont envy
SOS	Help
frnd	friend
NO1	No one
kpop	korean pop
Ppl r spreading rumours abt u tht u were literate	People are spreading rumours about you that you were literate
idk bro... but lmk when u find something	I do not know brother... but let me know when you find something
ya ikr? i was like , is this pic photoshopped or what...	yeah (yes) I k now right? i was like , is this picture photoshopped or what...
sup frenny , u're talkative and such. i'm lucky to be ur friend , take care x	what's up frenny , you're talkative and such. i'm lucky to be your friend , take care kiss
BCNU	Be seeing you
RLY	Really
just tryna play fortnite w the boyz, wbu	just trying to play fortnite with the boyz, what about you
Y2K	You're too kind
hey there, RUMOF?	hey there, Are you male or female?
I get an award with the carving t4bu	I get an award with the carving Thanks for being you
how much imma spend on food today hhh	how much I am going to spend on food today Laughing
PFT	Pretty fucking tight
Xlnt joke…rofl	excellent joke…Rolling on floor laughing
I am truly hurt fyi	I am truly hurt for your information
got to go B4N	got to go Bye for now
FOAF	Friend Of A Friend
NQT	Newly qualified teacher
S4L	Spam for life
BF	Boyfriend
UKTR	You know that's right
BTAIM	Be That As It May
DI	the
thats all u need to know abt how i'm handling my life rn	thats all you need to know about how i'm handling my life right now
YW	You're welcome
MOO	My own opinion
I am a noob when it comes to love. Lol	I am a Not skilled person when it comes to love. Laughing Out Loud
rtbs no. 129 You don’t have to share your meals	Reason to be single no. 129 You don’t have to share your meals
Lol Man U , Noob	Laughing Out Loud Man You , Not skilled person
ppl start spamming their inbox w this shit	people start spamming their inbox with this shit
looks like alot of ppl want there BF / GF to die lqtm nasty ppl	looks like alot of people want there boyfriend / girlfriend to die Laughing quietly to myself nasty people
Ykw the world is tryna fck with u when u cant find your glasses	You know what the world is trying to fuck with you when you cant find your glasses
ROI	Return on Investment
please don’t make such a BFD out of it	please don’t make such a Big Frickin Deal out of it
MBS	Mom behind shoulder
g2g bye for now	got to go Bye for now
OAUS	On An Unrelated Subject
SSINF	So stupid it's not funny
AFK for a good reason	Away From the Keyboard for a good reason
Y u do that? Why it gotta be like dat?	why you do that? Why it gotta be like that?
RAEBNC	Read And Enjoyed, But No Comment
YD	Yesterday
the big game is tomorrow so BTOBD	the big game is tomorrow so Be There Or Be Dead
fag	gay man (offensive)
W/B	Welcome back
Lol idk why ppl underestimate shit like fame	Laughing Out Loud I do not know why people underestimate shit like fame
ROFLCOPTER	Rolling on floor laughing and spinning around
Lol brb	Laughing out loud be right back
My lil bro is 18	My lilttle brother is 18
r they?? lol but thanks	are they?? Laughing out loud but thank you
how am i? well, n2m	how am i? well, Nothing too much
BRO	brother
happy bday bestie , miss u way too much :( see u soon!! Lysm xxx	happy birthday bestie , miss you way too much :( see you soon!! Love you so much Kisses
i can't deal w the extra haziness i just wan2 cuddle	i can't deal with the extra haziness i just want to cuddle
yeah ppl prolly just project	yeah people probably just project
SPST	Same place, same time
WYGISWYPF	What You Get Is What You Pay For
Why don't you QQ noob	Why don't you cry noob
Oh and btw the mwah mwah is meant for patty	Oh and by the way the kiss kiss is meant for patty
TTUL	Talk to you later
When I send my friend a msg on snapchat but his gf is crazy and opens it	When I send my friend a message on snapchat but his girlfriend is crazy and opens it
OMG I CRS	Oh my God I Can not Remember Shit
g2g Bye Bye for now	got to go Bye Bye for now
OMG we might actually get iKON TV fck i love lyf tnx u god	Oh My God we might actually get iKON TV fuck i love life thanks you god
tff I love that episode on friends	too fucking funnt I love that episode on friends
do ya thing sis	do your thing sister
TBL	Text back later
WNOHGB	Where No One Has Gone Before
Still so in luv w Goblin's OST	Still so in love with Goblin's original soundtrack
got to go, ttyl	got to go, talk to you later
TBD	To be determined
Yes, AAMOF, I saw it that movie day it came out	Yes, As a matter of fact, I saw it that movie day it came out
SOB	Stressd Out Bigtime
u ever see a pic of yourself n be like damn that's fucking awful	you ever see a picture of yourself and be like damn that's fucking awful
LSHMBH	Laughing So Hard My Belly Hurts
STFU	Shut the fuck up
NRN	No response / reply necessary
LULZ	Laugh out loud
OST	original soundtrack
ONNTA	Oh No, Not This Again
idk u but we follow each other so we're family lol	I do not know you but we follow each other so we're family laughing out loud
CYAL8R bro	See You All Later brother
boi	boy
LOTI I thought that was funny	Laughing on the inside I thought that was funny
BYOB to the party next month	Bring Your Own Bottle to the party next month
IJWTK	I Just Want To Know
ASAYGT	As Soon As You Get This
I wiLL luv U 4 ever	I will love you forever
AWTTW	A Word To The Wise
would ppl like to see some of my sketches on here idk but who rly cares	would people like to see some of my sketches on here I do not know but who really cares
Plz DM with your email address	Please send direct message (on twitter) with your email address
BTW	By The Way
OMDB	Over my dead body
You are a lying scumbag POS	You are a lying scumbag Piece Of Shit
4 u	for you
obv	obviously
Local PD will be involved as well	Local Police department will be involved as well
Yeah bro wtf lmk	Yeah brother what the fuck let me know
DOTGOV	A government official
OBO	Or Best Offer
JK	Just Kidding
UNA	Use no acronyms
YBYSA	You Bet Your Sweet Ass
why do yttl to ask her to marry you?	why do you take too long to ask her to marry you?
I'm nt here for ur Q&A...ask Google!	I'm not here for your question and answer...ask Google!
my mom bought me playstation! Mom ytg!	my mom bought me playstation! Mom You're the greatest!
OATUS	On a totally unrelated subject
W/	With
CU tomorrow B4N	see you tomorrow bye for now
Bring Your Own Bottle to tha party next month	Bring Your Own Bottle to the party next month
Yw sis loving the look so much	Your welcome sister loving the look so much
SIG2R	Sorry, I got to run
S2S	Sorry to say
slick	(acting) perfect
OIB	Oh, I'm back
looking at you sleeping this morning and thinking how lucky I am t4bu	looking at you sleeping this morning and thinking how lucky I am Thanks for being you
how am i? well, nm	how am i? well, Nothing much
L8R	Later
Omg rly?! Dm me how you been maintaining it	Oh my god really?! send direct message (on twitter) me how you been maintaining it
happy bday 2 the most talented most amazing person i kno	happy birthday to the most talented most amazing person i know
g2g TTFN	got to go Bye Bye for now
I CRS	I Can not Remember Shit
No its just ur a lazy shit lol	No its just you are a lazy shit Laughing Out Loud
dm	send direct message (on twitter)
hi, my name is jessucs I'm from Queens. Wuf	hi, my name is jessucs I'm from Queens. Where are you from?
TFS	Thanks for sharing
ty very much ur sweet	thank you very much you are sweet
Nvr thought i'd be the kinda gal to like cars	Never thought i'd be the kind of girl to like cars
IMHO simplistically ur “growing faster”	in my humble opinion simplistically you are “growing faster”
What is happening to that noob lol	What is happening to that Not skilled person Laughing Out Loud
no1 I hit up don't feel like talking 2 me 2 early	no one I hit up don't feel like talking to me too early
bc niggas been hmu tryna ask me out	because niggas been hit me up (text me or call me) trying to ask me out
TMI BUT PLS PLS DON'T LET ME TAKE THESE EVER AGAIN , THE BOX SAYS GENTLE RELIEF BUT I JUST DESTROYED A TOILET	Too Much Information BUT please please DON'T LET ME TAKE THESE EVER AGAIN , THE BOX SAYS GENTLE RELIEF BUT I JUST DESTROYED A TOILET
S'OK	It's okay
LMS	Like my status (Facebook)
NTIMM	Not That It Matters Much
I rlly luv his sc stories	I really love his snapchat stories
PSOS	Parent standing over shoulder
keep me posted w da jobs	keep me posted with the jobs
Just got 1 plate bench	just got one plate bench
y dont u dm the owner	Why dont you send direct message (on twitter) the owner
RMLB	Read my lips baby
you know how they alwayes say st&d? they are right. Stop doing it.	you know how they alwayes say Stop texting and drive? they are right. Stop doing it.
Wtf does this even mean lol	What the fuck does this even mean Laughing out loud
TC	Take care
sat	sitting
Wishing u a Vry vry Greatttt Happy Bday	Wishing you a Very very Greatttt Happy Birthday
LOTI	Laughing on the inside
idk ttyl. ily	i do not know talk to you later. i love you
TL	Timeline (twitter)
Her dress Wazznt beau BSF she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
the big game iz tomorrow so BTOBD	the big game is tomorrow so Be There Or Be Dead
Just QQ already	just cry already
it will change ur whole lyf yw	it will change your whole life your welcome
idk why but i thought this	I do not know why but i thought this
oh w8 nvm lol	oh wait never mind laughing out loud
SUP	What's up
YTB	You're the best
Idk why ppl wait last min to hmu	I do not know why people wait last min to hit me up (text me or call me)
remember that Dumb and Dumber movie? Ssif	remember that Dumb and Dumber movie? so stupid it's funny
LMAO	Laughing out loud
all u ppl who dont follo me bak r really immature	all you people who dont follow me back are really immature
TBYB	Try Before You Buy
OFC	of course
CU tomorrow BFN	see you tomorrow bye for now
happy bday lil baby we been talking bout this day since New Years	happy birthday lilttle baby we been talking about this day since New Years
FYI providing I don't violate Twitter's TOS	For Your Information providing I don't violate Twitter's Terms of service
lmk what u turn up pls	let me know what you turn up please
LMMFAO	Laughing out loud
IWBNI	It Would Be Nice If
Pls dnt judge the wig slip xoxo	Please do not judge the wig slip Kisses and Hugs
YHBT	You have been trolled
U choose ur decision imco	you choose your decision in my Considered opinion
stfu cuz McDonald's fries r better	shut the fuck up because McDonald's fries are better
ssinf I hate his vids	So stupid it's not funny I hate his videos
CSG	Chuckle, Snicker, Grin
WUF	Where are you from?
YGG	You go girl
UDM	You the man
1c upon a time ily 4ever	once upon a time I love you forever
i dont follow u but ur account looks cute and im happy u follow me mwah	i dont follow you but your account looks cute and im happy you follow me kiss
Correct Me If I am Wrong but r you goin out 2nite	Correct Me If I am Wrong but are you going out tonight 
MOS	Mother over shoulder
omg i love ur acct	oh my god i love your account
SW8	sweet
BSF	but seriously folks
SWL	Screaming with laughter
ask her out already yttl man	ask her out already You take too long man
PPL	People
YBS	You'll be sorry
yeah ppl prolly just project n then just protest abt tht	yeah people probablly just protest and then just forget about that
PUKS	Pick up kids
LOLWTF	Laughing out loud and saying What the fuck
tfw	That feeling when
iyo	in your opinion
as a lil gal I wanted my Prince Charming to find me on a walk in the woods lol	as a little girl I wanted my Prince Charming to find me on a walk in the woods laughing out loud
OTOOH	On The Other Other Hand
they gone have to ask God , and stop tryna harass me bout these niggas	they gone have to ask God , and stop trying to harass me about these black men (offensive)
PMBI	Pardon My Interfering
m8 get in touch n may b able to help u out	mate get in touch and may be able to help you out
YTG	You're the greatest
wants to have pza later?	wants to have pizza later?
SCNR	Sorry, Could Not Resist
JC	Just Chilling
IKYABWAI	I Know You Are But What Am I
WU	What's up
can you stfu n leave em alone wtf	can you shut the fuck up and leave them alone what the fuck
His sexy attitude is 2M2H for America	His sexy attitude is too much to handle for America
OJ	Only joking
it always have to be a vid kind of dm	it always have to be a video kind of send direct message (on twitter)
CU	See You
A lot of it wrt literature, especially Modern Literature	A lot of it With regard to literature, especially Modern Literature
LMBO he knows we have a "love / hate" relationship luv ya sis	laughing out loud he knows we have a "love / hate" relationship love you sister
TOS	Terms of service
IMHO	In My Humble Opinion
really? You would come with me? Ytb	really? You would come with me? You're the best
Lol guessing u dnt stay behind for post credits	Laughing out loud guessing you do not stay behind for post credits
CUL8R	See You Later
U-L	You will
aisi, we need to move by the end of the month	As I see it, we need to move by the end of the month
When you hug someone n ur head is below their shoulder wtf do u do w ur head	When you hug someone and your head is below their shoulder what the fuck do you do with your head
TANJ	There is not Justice
HHTYAY, have a safe weekend!	Happy Holidays to You and Yours, have a safe weekend!
Is it XLR8 even better in the reboot?	Is it excelerate even better in the reboot?
There is a great sale going on at the store, most under $10, but YMMV	There is a great sale going on at the store, most under $10, but Your mileage may vary
L	Laugh
Ngl , sometimes I'm srsly annoying	Not going to lie , sometimes I'm seriously annoying
UT2L	You take too long
i wanna research and see the real ppl behind it bc its based on a true story omg	i wanna research and see the real people behind it because its based on a true story oh my god
okie i rly need a new phone cause after the update my phone keeps crashing and it has TONS OF BUGS WTF	okie i really need a new phone because after the update my phone keeps crashing and it has TONS OF BUGS What The Fuck
Ya	yeah (yes)
you always assume I kno all those ppl but actually nhoh	you always assume I know all those people but actually never heard of him
LYLAB	Love You Like A Brother
YAUN	Yet Another Unix Nerd
MFS	motherfucker
FOAG	Fuck Off And Google
Her dress was not beautiful BSF she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
DQMOT	do not quote me on this
dz'nt	does not
If it wasn't a dotgov I don't want to hear about it	If it wasn't a government official I don't want to hear about it
ma	my
fave	favorite
FOAD	Fuck off and die
WIBNI	Would not it be nice if
Me LTS as I was introducing myself	Me Laughing to self as I was introducing myself
i had to do a double take on winwin bc i thought he was hyuck for a sec ngl	i had to do a double take on winwin because i thought he was hyuck for a second not going to lie
SOWM	Someone with me
Stfu boi cuz ur profile pic is ugly af	Shut the fuck up boy because your profile picture is ugly as fuck
OTP	On the phone
SS	So sorry
omg ofc I will help u w dat	oh my god of course I will help you with that
istg , i m8 punch u	I swear to gad , i might punch you
PLS LMK IF I CAN DM U	Please Let me know IF I CAN send direct message (on twitter) you
ofc Ima see you later ty	of course I will see you later thank you
ya, you came but you act like sot and not so present	yeah (yes), you came but you act like sort of time and not so present
YGTBK	You have Got To Be Kidding
Q&A	question and answer
LMAO WYD DORO YA IDIOT	laughing out loud what are you doing doro you idiot
hoping 4 You players 2 b even much more effective	hoping for You players to be even much more effective
AYOR	At Your Own Risk
hhh thank u	laughing thank you
Sry sry behalf of her I said sry I know she wuz wrong	Sotry sorry behalf of her I said sorry I know she was wrong
CWYL	Chat With You Later
I just bought new sheets with pza print	I just bought new sheets with pizza print
ily too	I love you too
SFAIK	So far as I know
gr8	great
till	untill
I do not know, uncrtn bout it	I do not know, uncertain about it
ISS	I am So Sure
KMIA	Kiss My Italian Ass
GG	Good Game
bored asl , somebody hmu or something lol	bored as hell , somebody hit me up (text me or call me) or something Laughing Out Loud
ROTFLOL	Rolling On The Floor Laughing Out Loud
TTYAFN	Talk to you a while from now
PU	That stinks
AAMOF, there is no substance to that rumor	As a matter of fact, there is no substance to that rumor
BFD	Big Frickin Deal
rtbs no. 451 You never have to clear your browsing history	Reason to be single no. 451 You never have to clear your browsing history
no1 wants 2b left out	no one wants to be left out
imma just say FUCK YA SIS	I am going to just say FUCK YEAH (yes) SISTER
stfu let me pinch his cute lil dimples	shut the fuck up let me pinch his cute lilttle dimples
what will Sundays evening b lyk w/o ya	what will Sundays evening be like without you
I know you will not listen to me so all I can do now is to wish you mtfbwu	I know you will not listen to me so all I can do now is to wish you may the force be with you (Good luck)
pls don’t make such a BFD out of it	please don’t make such a Big Frickin Deal out of it
He funny asl	He is funny as hell
Whole lotta letters	Whole lot of a letters
tha	the
ok girl, TLK2UL8R	ok girl, talk to you later
MTFBWU	May the force be with you (Good luck)
Sup hoss , I saw ur post and thought , "Wow , what a tweet."	what's up hoss , I saw your post and thought , "Wow , what a tweet."
4ever	forever
Lolh Idk why he said this cuz they prolly won't	Laughing out loud hysterically I do not know why he said this because they probably won't
acc	account
Why r u talking lmao	Why are you talking Laughing out loud
WC	Who cares
XOXO	Kisses and Hugs
this gal is all good but she's a noob	this girl is all good but she's a Not skilled person
doe	though
GTSY	Great To See You
RHIP	Rank has its privileges
UNBLEFBLE	Unbelievable
Yrw sis loving the look so much	You are welcome sister loving the look so much
TBC	To be continued
RT	Retweet (Twitter slang)
can u imagine being abt to sleep w someone and ur lyk “im 18. wbu” and theyre lyk “im 19” and u get off to that	can you imagine being about to sleep with someone and you are like “im 18. what about you” and theyre like “im 19” and you get off to that
PLS	Please
POTUS	President of the United States
ROTFLMAOTID	Rolling On The Floor Laughing My Ass Off Till I Die
vines are gr8 , that is a fact m8	vines are great , that is a fact mate
lmk pls	let me know please
gal	girl
I g2g so I will CWYL	I got to go so I will Chat with you later
wat r u wearing???	what are you wearing?
PDH	Very happy
VSC	Very soft chuckle
